,units,param_type
998,specialists,Mean
999,each,Number
1000,MINUTES,Mean
1001,episodes,Number
1002,percentage level of methemoglobin,Mean
1003,glucose [mmol/L] × insulin [pmol/L]/22.5,Mean
1004,Total categories,Mean
1005,Ratio of mRNA copy numbers (IL-6/5HKGs),Mean
1006,Minutes of exercise per day,Mean
1007,bleeding episodes,Mean
1008,feet in 15 seconds,Mean
1009,nmol/day,Mean
1010,Score on scale,Mean
1011,cells/microliter,Median
1012,percent of cells,Mean
1013,days of gestation,Median
1014,percent of scalp,Mean
1015,Hot flashes per 24 hr,Mean
1016,percent of maximum HS impact,Mean
1017,AU (Arbitrary Unit),Mean
1018,Centimeters,Median
1019,nmol/l,Mean
1020,kU/l,Median
1021,Number of ED visits over past 3 months,Mean
1022,grade,Median
1023,(mg/dL),Median
1024,incontinence episodes/24 hours,Mean
1025,Number of Drinks Per Day,Mean
1026,Micturitions,Mean
1027,Percent BSA moveable sclerosis,Number
1028,Swollen joint count,Mean
1029,mm hG,Mean
1030,log 2 titers,Median
1031,arousals per hour,Mean
1032,µIU/mL,Mean
1033,Percentage A1C,Mean
1034,(µU/ml),Mean
1035,Scores on a 0-100 scale.,Mean
1036,grams per liter,Mean
1037,inch,Mean
1038,Swollen joints,Mean
1039,percent of female participants,Number
1040,milligrams/deciliter (mg/dl),Median
1041,mm3,Mean
1042,Number of games,Mean
1043,ln (ng/ml),Mean
1044,Degrees Celsius,Mean
1045,Episodes,Mean
1046,participants per site,Mean
1047,nmol,Mean
1048,Number of pregnancies,Mean
1049,number of episodes,Mean
1050,mg/dl,Least Squares Mean
1051,Percentage of maximum score,Mean
1052,prior therapies,Median
1053,Total score in points,Mean
1054,kilograms / meter square,Mean
1055,kg/m^2 (BMI),Mean
1056,Percent normal,Mean
1057,Degree celcius,Mean
1058,milligrams of hydromorphone,Mean
1059,percentage of blood leaving the heart,Mean
1060,milligram/deciliter (mg/dl),Mean
1061,children,Median
1062,percent of LV ejection fraction,Mean
1063,g/dL,Mean
1064,Standard letters,Median
1065,Binge eating episodes/week,Mean
1066,minutes per week,Mean
1067,millimole/Liter,Mean
1068,Log10 CFU/cm^2,Median
1069,(cells/microlitre),Mean
1070,Beats Per minute,Mean
1071,percent of glycosylated hemoglobin,Mean
1072,percentage of vessel diameter,Median
1073,mEq/24 hrs,Mean
1074,ml.kg-1.min-1,Mean
1075,ml/min/1.73 m2,Mean
1076,perfusion units,Mean
1077,number of leaks per day,Mean
1078,mg,Median
1079,Percent predicted value,Mean
1080,mL/Kg/min,Mean
1081,m㎡/s,Mean
1082,number of exacerbations/18 months,Mean
1083,(nmol/mL),Mean
1084,10^9 cells/L,Mean
1085,10^9 platelets/L,Median
1086,symptom complexes,Number
1087,% of patricipants,Number
1088,illnesses,Mean
1089,picograms/mL,Mean
1090,medication,Mean
1091,nanomole/liter (nmol/L),Mean
1092,Z-score,Mean
1093,potentially inappropriate medications,Median
1094,international unit per litre,Mean
1095,kg per meters-squared,Mean
1096,liters per min,Mean
1097,CSBMs per week,Mean
1098,Milligrams per Litre (mg/L),Mean
1099,µU/mL,Mean
1100,T Score,Mean
1101,square centimeters,Mean
1102,kilogramm (kg),Mean
1103,dynes*second/centimeter^5,Mean
1104,points,Median
1105,Correct responses,Mean
1106,fraction of phosphorus excreted,Mean
1107,units on a scale from 0-1,Mean
1108,kilogram per squaremeter,Mean
1109,units on scale 0-10,Mean
1110,mol/L,Mean
1111,kg/meters squared,Mean
1112,cm-H20,Median
1113,mmol/mol,Number
1114,gram per deciliter (g/dL),Median
1115,Score on MCQ 4 Factor Total scale,Mean
1116,log of min angle of resolution (logMAR),Mean
1117,Urgency Episodes,Mean
1118,mmol/mol,Mean
1119,mgA/L,Median
1120,affected organs,Number
1121,log10(parasites per microliter),Mean
1122,Degrees Celisius,Mean
1123,(m),Mean
1124,number of metastatic sites,Median
1125,L/min/m^2,Mean
1126,vegetable/day,Mean
1127,Unit of PDQ-39,Mean
1128,Percent Fraction,Mean
1129,CSBMs/week,Mean
1130,percentage (%),Mean
1131,kUA/I,Mean
1132,Percent Hemoglobin,Median
1133,number of lesions,Mean
1134,exams,Number
1135,Headaches,Mean
1136,microns (μm),Mean
1137,Gene expression ratio (Log2 scale),Mean
1138,percentage of Glycated hemoglobin,Mean
1139,microgram per deciliter (mg/dL),Mean
1140,milliliters per minute (ml/min),Mean
1141,milliseconds,Median
1142,meters,Median
1143,nanogram/liter (ng/L),Mean
1144,percentage of total blood volume,Median
1145,dynes·sec·cm-5,Mean
1146,Cells/μL,Mean
1147,Score on a questionnaire,Mean
1148,percentage of Hemoglobin A1c,Mean
1149,Participans,Number
1150,Pound,Number
1151,steps per second,Mean
1152,C7 Expression (% of normal skin),Mean
1153,newton squared,Mean
1154,% of total lymphocytes,Median
1155,percentage occluded,Mean
1156,hospitalizations,Mean
1157,percentage of daily off time,Mean
1158,Scores on a Scale,Number
1159,%PD1+ CD8+ T-cells,Median
1160,number of cells per micro-liter,Median
1161,prior lines of therapy,Median
1162,partecipants,Number
1163,Events,Median
1164,Percent of muscle fibres expressing MHCd,Mean
1165,pmol/L,Mean
1166,mg/day,Median
1167,Millimoles/Liter (mmol/L),Mean
1168,colonoscopies,Mean
1169,proportion of 1·0,Mean
1170,percentage of normal beta cells function,Mean
1171,Standard Score,Mean
1172,Log Total Activity Count,Mean
1173,logMAR BCVA,Mean
1174,% of time in bed person is asleep,Mean
1175,Dollar Amount,Mean
1176,Birth Gestational Age (Weeks),Mean
1177,transplants,Median
1178,logMAR best corrected visual acuity,Mean
1179,mcg/L,Median
1180,"Units of measure ""kg/m^2""",Median
1181,number of pregnancies,Median
1182,Ratio,Number
1183,gm/cm^2,Mean
1184,g/day,Mean
1185,Percent of Days Abstinent,Mean
1186,Seconds (sec),Mean
1187,entheses,Median
1188,Therapies,Mean
1189,International Units (IU),Mean
1190,total 1st MMSE score parameters,Mean
1191,mg/dL,Number
1192,wounds,Count of Units
1193,units on a scale (1 best to 75 worst),Median
1194,Degrees Centigrade,Mean
1195,liters/sec,Mean
1196,Rib Fractures,Mean
1197,suicide attempts,Mean
1198,µg/g,Median
1199,percentage pain relief from medication,Mean
1200,kg/ m^2,Median
1201,E-ETDRS letters,Mean
1202,mL/kg/min,Mean
1203,mg/kg,Median
1204,µM,Mean
1205,number of,Number
1206,Teeth,Count of Units
1207,pYears,Mean
1208,mm^3,Median
1209,percentage of drinking days,Mean
1210,% risk of CVD within 10 years,Mean
1211,mV,Mean
1212,regimens,Number
1213,meters^2,Median
1214,kilogram (Kg),Mean
1215,M value,Mean
1216,degrees^2,Median
1217,milliliter/minute/1.73 meter squared,Mean
1218,Units on Scale,Mean
1219,Kilogram (kg)/m^2,Mean
1220,cells per cubic millimeter,Median
1221,*10^03 cells/µL,Mean
1222,percentage of fluid expelled,Mean
1223,Percentage of red blood cells,Mean
1224,Total FSFI score,Mean
1225,cc/m^2,Mean
1226,score on a scale for each domain of SPI,Mean
1227,Quit attempts,Median
1228,g/cm^3,Mean
1229,Number on a Scale,Median
1230,gm/dL,Mean
1231,kg\m^2,Mean
1232,millimeters,Median
1233,lbs,Median
1234,percentage of alpha-SMA,Mean
1235,Caucasian,Number
1236,(%),Mean
1237,percentage of stromal TILs,Median
1238,kilograms/square meter (kg/m^2),Mean
1239,instances,Median
1240,10^3 platelets per microliter,Mean
1241,dimensionless ratio,Mean
1242,nmole/L,Mean
1243,children at sites,Number
1244,units on a scale,Least Squares Mean
1245,HIV tests,Median
1246,percentage of fat,Number
1247,percent of total white blood cell count,Median
1248,Total Score,Mean
1249,Unit per liter,Mean
1250,Percent of Hemoglobin,Mean
1251,L/min,Mean
1252,morphine equivalents milligrams,Median
1253,attacks,Number
1254,terminal hairs/cm^2,Mean
1255,Kilogram/square meter,Median
1256,Cigarettes,Mean
1257,µg/week,Mean
1258,milligrams,Median
1259,milligrams per Liter (mg/L),Median
1260,number of behaviors reported,Mean
1261,patients and clinicians,Number
1262,frequency per year,Mean
1263,warts,Count of Units
1264,Gestational Age (weeks),Mean
1265,µmol/L,Median
1266,kilgram per square meter,Mean
1267,Weeks of post menstrual age,Median
1268,flares,Mean
1269,Ejection Fraction Percentage,Mean
1270,Insulin Dose Units,Mean
1271,Liter per minute (L/min),Mean
1272,% of predicted value,Mean
1273,Units on a scale,Mean
1274,Percent reversibility,Mean
1275,degree Celsius,Mean
1276,Scores on a Scale,Mean
1277,uM,Median
1278,number of incontinence episodes per week,Median
1279,Kg/m٨2,Mean
1280,Vaginal deliveries,Mean
1281,milliliters (mL),Mean
1282,micromoles/L,Mean
1283,millimeters (mm),Mean
1284,10^9 white blood cells per liter,Median
1285,l/min,Mean
1286,Percentage of affected area,Mean
1287,Multiple of Normal,Mean
1288,1000 cells/microL,Median
1289,percentage of uptake,Median
1290,percentage fat,Mean
1291,number of cigarettes/day,Mean
1292,% of Predicted Max Value,Mean
1293,cannabis cigarettes used per day,Mean
1294,kg/m**2,Mean
1295,mm⁴,Median
1296,milligram,Median
1297,percentage of A1C,Mean
1298,packed cell volume,Mean
1299,Composite Score,Mean
1300,percentage of cells,Median
1301,percent staining,Median
1302,millimeters mercury,Mean
1303,Items per month,Mean
1304,mL,Mean
1305,cells/μL,Median
1306,ml/min/1.73m^2,Mean
1307,months (at time of dx),Median
1308,Gray (Gy),Median
1309,Percentile adjusted for sex and age,Mean
1310,microunits*dL/mg*mL,Mean
1311,Percent BSA nonmoveable sclerosis,Number
1312,incontinence episodes per day,Mean
1313,mg/ml,Geometric Mean
1314,uM (micrometer),Mean
1315,Beats/minute,Mean
1316,percent of subjects with elevated PRA,Number
1317,Grams per deciltre (g/dL),Mean
1318,proportion difference,Mean
1319,milligrams per kilogram (mg/kg),Median
1320,KG/M^2,Mean
1321,milliliter (mL),Mean
1322,kilograms per meters squared,Median
1323,average cigarettes per day at baseline,Mean
1324,log₁₀ IU/mL,Mean
1325,estradiol to testosterone ratio,Mean
1326,days/week,Mean
1327,percentage of work productivity impairme,Mean
1328,kilograms (kg),Number
1329,units on a scale (0 - 50),Mean
1330,mU/dL,Mean
1331,US dollars,Mean
1332,international normalized ratio,Mean
1333,Percentage %,Median
1334,log_10 CFU per gram,Mean
1335,percent area stain positive,Median
1336,percent heavy drinking days,Mean
1337,white blood cells *10^9 per L,Mean
1338,point,Mean
1339,kilograms per square meter (kg/m2),Median
1340,surgeries,Mean
1341,ln(mU/L),Mean
1342,μmol/L,Mean
1343,cells x10^9/l,Median
1344,operations,Median
1345,attacks per subject,Mean
1346,pressure ulcers,Mean
1347,units on a scale (0-4). 0 = normal.,Mean
1348,seizures/28 days,Mean
1349,Basal insulin claims,Mean
1350,1 × 10⁹ cells/L,Mean
1351,Quit Attempts,Mean
1352,score on a scale.,Mean
1353,number previous deliveries,Mean
1354,Percent beta-cell function,Mean
1355,year,Median
1356,Milligram per deciliter (mg/dL),Median
1357,health conditions,Mean
1358,number of resources/devices used,Mean
1359,gram per square centimeter (g/cm^2),Mean
1360,ETDRS BCVA Letters,Mean
1361,standard deviations,Mean
1362,percentage of intended medication,Mean
1363,cm on dyspnea analog scale,Mean
1364,meters squared (m^2),Mean
1365,"Years (Min, Max)",Median
1366,Total Score,Median
1367,micro-mole/litre,Median
1368,parasites/µl blood,Mean
1369,smoking days per week,Mean
1370,kg/m^2 (kilogram/meter^2),Mean
1371,micromol/L,Mean
1372,years of age,Median
1373,percentage of HbA1C,Median
1374,prior therapies,Mean
1375,International Units/Milliliter (IU/mL),Mean
1376,Number of therapies,Median
1377,ml/min,Mean
1378,CAG repeats*years,Mean
1379,percentage of FEV1/FVC,Mean
1380,lines of treatment,Median
1381,Mental Score,Mean
1382,advanced therapies,Number
1383,meq/L,Mean
1384,percentage of transferrin saturation,Mean
1385,cm^2,Mean
1386,number of doses per day,Median
1387,cells 10^9/L,Mean
1388,degrees Fahrenheit,Mean
1389,% of leg length,Mean
1390,Percentage of whole body mass,Mean
1391,L (BTPS),Mean
1392,kg/cm^2,Mean
1393,kg/ m2,Mean
1394,decibels (dB),Mean
1395,mg/day (milligrams/day),Mean
1396,swollen joint count,Mean
1397,urgent care/ED visits per year,Mean
1398,Hours after midnight,Mean
1399,Rand (South African currency) per month,Mean
1400,Hospitals,Number
1401,Euro/participant-month,Mean
1402,mm/L,Median
1403,Percentage of predicted FVC,Mean
1404,mIU/mL,Mean
1405,(mm),Median
1406,Count of pregnancies,Mean
1407,Eyes,Count of Units
1408,kilogram /meter squared (kg/m2),Mean
1409,picograms/milliliter,Median
1410,mL/kg predicted body weight,Mean
1411,missing teeth,Mean
1412,mg/ kg . min,Mean
1413,International Units per milliliter,Mean
1414,Level,Number
1415,HOMA-R Score,Mean
1416,meter,Median
1417,percentage of phosphorus excreted,Mean
1418,ms,Median
1419,cells/μl,Mean
1420,gestational age (weeks),Median
1421,Percentile,Mean
1422,ng/ml,Median
1423,Score on a Scale,Mean
1424,percent of sleep time,Median
1425,mU/mL,Mean
1426,milligram / liter,Median
1427,unit a scale,Mean
1428,micro International Unit/milliliter,Mean
1429,k/uL,Median
1430,infants,Number
1431,Lifetime Episodes of Depression,Mean
1432,Nanogram (ng)/mL,Mean
1433,percent retention,Mean
1434,Stools per day,Mean
1435,total initial scores by study group,Mean
1436,LogMar,Mean
1437,% left ventricular function,Median
1438,number of surgery,Mean
1439,mL/min,Mean
1440,ukat/L,Median
1441,Hertz,Median
1442,cells/ug,Mean
1443,correct answers,Mean
1444,Kgs,Mean
1445,UI/L,Median
1446,scores on a scale,Mean
1447,liters/minute/square meter (L/min/m^2),Mean
1448,mm^2,Mean
1449,Centimeter,Mean
1450,Kilograms/m^2,Median
1451,Log10 Genome Equivalent/ml,Mean
1452,ml.beat-1,Mean
1453,T scores,Mean
1454,kilograms per meter squared (kg/m2),Mean
1455,Children,Median
1456,Average Minute/Day,Mean
1457,AU(arbitrary unit),Mean
1458,number of participants,Number
1459,millimeter of mercury (mmHg),Mean
1460,mL/mmHg x 100,Mean
1461,Centimeters,Mean
1462,Mm,Mean
1463,umol/L,Median
1464,number of absolute scotomatous points,Mean
1465,pg/mL*min,Mean
1466,lbs,Mean
1467,prior interventions,Median
1468,Number,Number
1469,kg/m ^ 2,Mean
1470,% diameter stenosis,Mean
1471,Operative Days,Count of Units
1472,number of hospitalizations,Mean
1473,pills per day,Median
1474,international units per liter (IU/L),Mean
1475,liters per second,Mean
1476,mg/dl,Mean
1477,SBM per week,Mean
1478,0 to 10 low to high scale,Mean
1479,milliliter per watt (mL/watt),Mean
1480,number of discrete school suspensions,Mean
1481,limbs,Count of Units
1482,participants with diagnosis,Number
1483,organs affected by cGVHD,Median
1484,kg/m^2,Median
1485,milliequivalent day-1,Mean
1486,Number of letters,Mean
1487,kilograms/metres2,Mean
1488,ng/L,Median
1489,µl.min-1.ml-1,Mean
1490,picomole/liter (pmol/L),Mean
1491,square meters (m2),Mean
1492,nanogram per millilitre,Mean
1493,Vaginal pH,Mean
1494,percent of total body fat,Mean
1495,percent predicted FVC,Mean
1496,Inch,Mean
1497,mmoL/moL,Mean
1498,nanograms per milliliter (ng/mL),Median
1499,millimoles per Liter,Mean
1500,daytime micturitions,Mean
1501,Number of cells infused x 10^6/kg,Mean
1502,percent affected,Mean
1503,Standard drinks of alcohol,Mean
1504,Clinidamycin-resistant p. acne counts,Mean
1505,number of vocalizations,Mean
1506,Score,Median
1507,kilogram/(meter*meter),Mean
1508,mass,Number
1509,Percentage HbA1c,Mean
1510,mg/24 hours,Mean
1511,month,Mean
1512,mg*h/dL,Mean
1513,Nanograms per milliliter (ng/ml),Mean
1514,Vaginal deliveries,Median
1515,diagnoses,Mean
1516,units on GAF scale,Mean
1517,kg/M2 x g/L,Mean
1518,pg/dl,Mean
1519,Centimeter per second (cm/s),Mean
1520,parts per billion,Median
1521,10^9 cells per liter,Median
1522,Anti-hypertensive medications,Median
1523,Percentage of Carlories,Mean
1524,Paricipants,Number
1525,oxygen fraction,Median
1526,millimeters (mm),Median
1527,number of metastases,Mean
1528,OCS courses per 6 months,Mean
1529,Particiapants,Number
1530,micrograms per ml.,Mean
1531,nanogram (ng)/milliliter (mL),Mean
1532,centimeters squared,Mean
1533,microvolts,Mean
1534,g/kg,Mean
1535,fmol/L,Median
1536,Cigarettes smoked per day,Mean
1537,log10 copies/milliliter,Mean
1538,epileptic discharges/30 mins,Mean
1539,AOM-SOS score,Mean
1540,score on the MOCA scale,Median
1541,Standard alcohol drinks per week,Mean
1542,mL/uU,Median
1543,number of therapies,Median
1544,HAE attacks/month,Mean
1545,Percentage Of Ejection Fraction,Mean
1546,disc area,Mean
1547,episodes per week,Mean
1548,Height Percentile,Median
1549,% of days with complete evacuation,Mean
1550,percenatage of activated CD4 T-cells,Median
1551,ug/l,Mean
1552,relapses,Median
1553,advanced adenomas,Mean
1554,Treatment lines,Number
1555,Milligram (mg)/deciliter (dL),Mean
1556,percentage difference in lengths,Mean
1557,%Ki67+ CD8+ T-cells,Median
1558,Percentage of glycosylated haemoglobin,Mean
1559,Composite T- Score,Mean
1560,percent change,Mean
1561,scores on scale,Mean
1562,copies/mL,Log Mean
1563,microgram/Liter (µg/L),Mean
1564,percent of HbA1c,Mean
1565,mm wheal size,Median
1566,% oxygen,Mean
1567,study eye,Number
1568,Patient Visit,Number
1569,days per week,Mean
1570,newton meter,Mean
1571,previous pregnancies,Mean
1572,Weeks Gestational Age,Mean
1573,Liter/Minute (L/min),Mean
1574,CBSM/week,Mean
1575,Male participants,Number
1576,Hertz,Mean
1577,Lbs,Mean
1578,percent of hemoglobin,Mean
1579,monthly migraine days,Mean
1580,milliliters (ml),Mean
1581,cell count,Mean
1582,Stage shifts,Mean
1583,Drinks/week,Number
1584,picomoles/liter*minute (pmol/L*min),Mean
1585,Number of SD Drinks per day,Mean
1586,Millimeters,Mean
1587,migraine attacks/month,Mean
1588,titer,Median
1589,kU/L,Mean
1590,* ULN,Mean
1591,arbitrary unit,Mean
1592,liver fat percentage,Mean
1593,patients with brain metastases,Number
1594,Number of patients (per PD-L1 category),Number
1595,Sound intensity dB HL,Mean
1596,molar teeth,Count of Units
1597,Dollar,Mean
1598,UI/mL,Median
1599,mean years total population,Mean
1600,Agents therapies,Median
1601,regimens,Mean
1602,Kg/meters (m)^2,Mean
1603,tests/day,Mean
1604,kilogram (kg)/meter (m)^2,Mean
1605,Units on a scale (7 point scale),Mean
1606,YEARS,Mean
1607,ug/L Fibrinogen Equivalent Units (FEU),Median
1608,units on a scale (0-3),Mean
1609,"scores on a scale ranging from ""0 - 100""",Mean
1610,ug/L,Median
1611,%Gag-specific CD107a+ CD4+ T-cells,Median
1612,Liter/minute/square meter (L/min/m^2),Mean
1613,Ears,Number
1614,CSBM per week,Mean
1615,meters per second (m/s),Mean
1616,millimeters of mercury,Mean
1617,relapses,Mean
1618,insulin units,Mean
1619,Number of Stones,Mean
1620,mL/min/mmHg,Mean
1621,percentage of neutrophils,Median
1622,Fahrenheit,Mean
1623,10^9 per liter (10^9/L),Median
1624,migraine days per month,Mean
1625,meq/l,Mean
1626,kg/sqm,Mean
1627,Minutes,Median
1628,Meter,Median
1629,milimeter,Mean
1630,Copies/mL,Geometric Mean
1631,number of AFB,Median
1632,kilogram/ meter^2 (kg/m^2),Mean
1633,kcal/day,Mean
1634,Arousals per hour,Median
1635,hours,Median
1636,mg,Mean
1637,Lines,Median
1638,USD,Median
1639,percent predicted FEV1,Mean
1640,Year,Median
1641,implants,Number
1642,pack years,Mean
1643,percentage of Arterial stiffness,Mean
1644,g,Mean
1645,Regimens,Mean
1646,microg/mL,Mean
1647,Percentage of peripheral Leukocytes,Median
1648,Percentage Clearance,Mean
1649,score a scale,Mean
1650,mg/m2,Mean
1651,units/liter (U/L),Mean
1652,mL/min/1.73 mˆ2,Mean
1653,Falls,Mean
1654,Multiples of normal,Mean
1655,mg/g,Mean
1656,Log (copies/ml),Log Mean
1657,"Projected Probability, percent",Mean
1658,% of time performing direct pt care,Mean
1659,degrees centigrade,Mean
1660,micrograms per deciliter,Mean
1661,g/dl (grams per deciliter),Mean
1662,yrs,Mean
1663,log C5,Mean
1664,mL/min/1.73 m²,Mean
1665,number of cigarettes per day,Mean
1666,Age in years,Median
1667,sit-to-stand repetitions/10 seconds,Mean
1668,Treatment lines,Median
1669,beats/min,Mean
1670,x1000 platelets/uL,Mean
1671,mL,Least Squares Mean
1672,in.,Mean
1673,Cigarettes/day,Mean
1674,log10(copies/ml),Median
1675,% CDT,Mean
1676,Milliliters per minute,Mean
1677,picograms (pg)/mL,Mean
1678,grams/L,Mean
1679,percentage (%) of total haemoglobin,Mean
1680,stands,Mean
1681,Number of comorbidities,Median
1682,degrees Celsius (°C),Mean
1683,units on a 100mm Visual Analogue Scale,Mean
1684,drugs,Mean
1685,micromole/liter (umol/L),Mean
1686,lesion count,Mean
1687,NIHSS units,Mean
1688,mm Hg,Mean
1689,Number,Mean
1690,participants,Mean
1691,total percentage of body area burned,Mean
1692,(kg/m2),Mean
1693,ulU/mL,Mean
1694,hot flashes/day,Median
1695,m/sec,Mean
1696,vaginal delivery,Median
1697,mg²/dL²,Mean
1698,Surgical Indications,Number
1699,lines of chemotherapy,Median
1700,CGI-S Score,Mean
1701,ng/ML,Median
1702,inches (in),Median
1703,mcmol/L,Mean
1704,WEEKS,Median
1705,Past treatments,Mean
1706,Symptom,Median
1707,particpants with images collected,Number
1708,μU/dL,Mean
1709,scores on a scale,Median
1710,Percentage of subjects,Number
1711,fraction,Mean
1712,class,Mean
1713,percent body fat,Mean
1714,Log 2 titers,Median
1715,Kilograms (kg)/meter (m)^2,Mean
1716,vertebral fractures per patient,Mean
1717,microU/mL,Mean
1718,cells/microliter (cells/mcL),Mean
1719,uIU/ml,Mean
1720,International Normalized Ratio,Mean
1721,Fractions,Mean
1722,cardioversions,Mean
1723,tooth,Mean
1724,mL/min,Median
1725,incontinence episodes,Mean
1726,%Gag-specific CD40L+CD8+ T-cells,Median
1727,10^9 cells per liter,Mean
1728,words recalled,Mean
1729,milliliter/minute,Mean
1730,mm*2,Mean
1731,percentage of polysomnogram time,Mean
1732,PCOSQ Menstrual problems Score,Mean
1733,Angular degree,Mean
1734,Milligrams per deciliter (mg/dL),Mean
1735,Number of nocturia episodes per 24 hours,Mean
1736,log of time in seconds,Mean
1737,g/g,Median
1738,Hands,Count of Units
1739,number chronic conditions per subject,Mean
1740,number of treatments,Number
1741,number of RNCM phone visits,Mean
1742,*10^9 cells/L,Median
1743,microgram per liter (µg/l),Mean
1744,mg/ml,Median
1745,g/dL,Median
1746,A1C %,Mean
1747,apneas plus hypopneas per hour,Median
1748,Therapies,Median
1749,units per kilogram,Mean
1750,micro-mol/(kg*min),Median
1751,mls/min/1.73m^2,Median
1752,mg/mL,Geometric Mean
1753,degrees,Median
1754,kilogram (s),Mean
1755,micron,Mean
1756,teen mother participants,Number
1757,square meter (m˄2),Median
1758,Percentage of body surface area affected,Mean
1759,ambulatory visits,Median
1760,cup:disc ratio,Mean
1761,Score on a scale,Median
1762,ICU patients/year,Median
1763,percent of predicted,Median
1764,drinks per drinking day,Mean
1765,scores on a scale.,Mean
1766,Invasive Procedures,Median
1767,percentage of dilation,Mean
1768,walk distance (m),Mean
1769,(10-4min-1/µU*mL),Mean
1770,Drinking days,Mean
1771,torr,Mean
1772,voids per day,Mean
1773,angle in degrees,Mean
1774,kg/m˄2,Median
1775,births,Mean
1776,number of cigarettes,Mean
1777,ml,Mean
1778,kilogrammes per meter squared,Mean
1779,scores on a scale of 0 to 12,Mean
1780,mililiters,Mean
1781,mmHg,Median
1782,Grays (Gy),Median
1783,Marder score,Mean
1784,number of inhalations,Mean
1785,log10 (copies/ml),Median
1786,ml/mmHg/min,Mean
1787,nanograms/milliliter,Median
1788,nmol/ml,Mean
1789,log 10 (copies/ml),Median
1790,log copies/ml,Median
1791,children,Number
1792,Count of Eosinophils,Mean
1793,Visits,Mean
1794,°F,Mean
1795,cells/L,Median
1796,Events/hour,Median
1797,beat per minute,Median
1798,nanogram per liter (ng/L),Mean
1799,percentage score,Mean
1800,percentage of population,Mean
1801,LSAS Score,Mean
1802,grams/grams,Mean
1803,mL/s,Mean
1804,milligram/deciliter,Mean
1805,miliseconds (ms),Mean
1806,KILOGRAMS,Mean
1807,milliequivalents/liter*min (mEq/L*min),Mean
1808,ml/m,Mean
1809,% body fat,Mean
1810,kilogram per meter square (kg/m²),Mean
1811,Cells/mm^3,Mean
1812,breaths/minute,Mean
1813,IU/I,Mean
1814,eyelids,Number
1815,centimeters squared (cm^2),Mean
1816,ng*hr/ml,Mean
1817,Ratio,Mean
1818,Percentage of visits prescribed an abx,Median
1819,Pregnancies per participant,Mean
1820,picogram(pg)/mL,Mean
1821,number of nicotine-products used per day,Mean
1822,uU/mL,Mean
1823,Emergency care in the last 6 months,Mean
1824,mcU/mL,Mean
1825,number of correctly recalled words,Mean
1826,mean result on scale,Mean
1827,percentage of oxygenated haemoglobin,Mean
1828,log transformed ng/mL,Mean
1829,cells/microliter,Mean
1830,"kg/m^2""",Mean
1831,cells/ul,Mean
1832,male/female,Number
1833,10^3/microliters,Mean
1834,kilograms per meters squared (kg/m^2),Mean
1835,Scores on the HEI scale,Mean
1836,cans/week,Mean
1837,units per liter,Mean
1838,kilograms per square meter (kg/m2),Number
1839,units of insulin,Mean
1840,degrees (C),Mean
1841,Kilogram per square meter,Mean
1842,% (stroke volume/ end-diastolic vol)x100,Mean
1843,µm,Median
1844,% Fat mass,Mean
1845,units on a scale (0-100),Mean
1846,pg ml ^-1,Median
1847,Kg/m squared,Mean
1848,log10CFU/g,Mean
1849,cigarettes / day,Median
1850,percentage of predicted FVC,Mean
1851,injection per day,Mean
1852,Centimetre,Mean
1853,kg per square meter,Median
1854,fraction of phosphate reabsorbed,Mean
1855,lesions,Mean
1856,kilopascals,Median
1857,µg/liter,Median
1858,Months,Median
1859,lb,Median
1860,pads used,Mean
1861,%Gag-specific IL-2+ CD4+ T-cells,Median
1862,y,Mean
1863,bpm,Median
1864,sessions,Mean
1865,nanograms per deciliter (ng/dL),Median
1866,hour*micro international unit/milliliter,Mean
1867,(kg/m^2),Mean
1868,kilograms per meter square,Mean
1869,lesions per subject,Mean
1870,number of correct answers,Mean
1871,percentage (Hepatic Fat Fraction),Mean
1872,Puffs/Day,Mean
1873,Percentage of Ejection Fraction,Mean
1874,log copies/mL,Mean
1875,mL/minute,Median
1876,Total units on a scale,Mean
1877,millimeter of mercury,Mean
1878,cigarettes per day,Mean
1879,mGy·cm,Median
1880,Percentage of total hemoglobin,Mean
1881,paticipants,Number
1882,yeaars,Mean
1883,log10 HIV copies/mL,Mean
1884,T-Score,Mean
1885,Percentage of all RPL patients,Number
1886,ml/min/1.73M2,Median
1887,Whole year,Median
1888,number of sites,Median
1889,unprotected sex acts,Least Squares Mean
1890,% of the diameter the artery,Mean
1891,kg/mg^2,Mean
1892,Number of comorbidities per patient,Median
1893,Milligram (mg)/dL,Mean
1894,millimeters,Mean
1895,percent of participants aged 11-13 years,Number
1896,ng/g,Median
1897,Log_10 copies/mL,Mean
1898,Breaths per minute,Mean
1899,gram,Mean
1900,platelets per micro liter of blood,Mean
1901,copies/10^6PBMCs,Median
1902,Microgram per milliliter (μg/mL),Mean
1903,kU/L,Geometric Mean
1904,percentage of giant cells in tumor,Mean
1905,steps,Mean
1906,fractures,Mean
1907,dynes*sec/cm^5,Mean
1908,micrograms/deciliter (mg/dL),Mean
1909,surgery,Mean
1910,Prior Lines of Therapy,Median
1911,kPa/l/s,Mean
1912,Kilogram per square meter (kg/m^2),Mean
1913,units on a scale from 1 to 4,Mean
1914,milligrams (mg),Mean
1915,sites,Number
1916,milli international units per liter,Mean
1917,correct matches,Mean
1918,Office Visits,Mean
1919,min,Median
