,NCTId,Condition,PrimaryOutcomeMeasure,PrimaryTimeFrame,SecondaryOutcomeMeasure,SecondaryTimeFrame,BaselineMeasureTitle
550,NCT04977596,"Neuroendocrine Tumor of Pancreas|Carcinoma, Pancreatic|CT",Tumor size|Tumor location|Number of lesions|Margin|tumor texture|Pancreatic tail contraction|Complicated pancreatitis|Pancreatic duct/bile duct dilatation|Extrapancreatic tissue invasion|Hepatic metastasis|Lymphatic metastasis|CT value of pancreas plain scan|CT value of lesion plain scan|CT value of pancreas artery phase|CT value of lesion artery phase|CT value of pancreas portal phase|CT value of lesion portal phase,preoperative contrast-enhanced CT performed within 2 months before surgery or biopsy|preoperative contrast-enhanced CT performed within 2 months before surgery or biopsy|preoperative contrast-enhanced CT performed within 2 months before surgery or biopsy|preoperative contrast-enhanced CT performed within 2 months before surgery or biopsy|preoperative contrast-enhanced CT performed within 2 months before surgery or biopsy|preoperative contrast-enhanced CT performed within 2 months before surgery or biopsy|preoperative contrast-enhanced CT performed within 2 months before surgery or biopsy|preoperative contrast-enhanced CT performed within 2 months before surgery or biopsy|preoperative contrast-enhanced CT performed within 2 months before surgery or biopsy|preoperative contrast-enhanced CT performed within 2 months before surgery or biopsy|preoperative contrast-enhanced CT performed within 2 months before surgery or biopsy|preoperative contrast-enhanced CT performed within 2 months before surgery or biopsy|preoperative contrast-enhanced CT performed within 2 months before surgery or biopsy|preoperative contrast-enhanced CT performed within 2 months before surgery or biopsy|preoperative contrast-enhanced CT performed within 2 months before surgery or biopsy|preoperative contrast-enhanced CT performed within 2 months before surgery or biopsy|preoperative contrast-enhanced CT performed within 2 months before surgery or biopsy,,,
553,NCT04977557,Dry Beriberi,change in Overall Neuropathy Limitation Scale (ONLS) score,"before treatment with Thiamine (baseline ) and after 1 week, 6week, 12 week of treatment",change in leg swelling|change in muscle power|change in muscle cramp|change in deep tendon reflexes|change in squat test|change in pain sensation|change in position sensation|change in vibration sensation|change in touch sensation,"before treatment with Thiamine (baseline ) and after 1 week, 6week, 12 week of treatment|before treatment with Thiamine (baseline ) and after 1 week, 6week, 12 week of treatment|before treatment with Thiamine (baseline ) and after 1 week, 6week, 12 week of treatment|before treatment with Thiamine (baseline ) and after 1 week, 6week, 12 week of treatment|before treatment with Thiamine (baseline ) and after 1 week, 6week, 12 week of treatment|before treatment with Thiamine (baseline ) and after 1 week, 6week, 12 week of treatment|before treatment with Thiamine (baseline ) and after 1 week, 6week, 12 week of treatment|before treatment with Thiamine (baseline ) and after 1 week, 6week, 12 week of treatment|before treatment with Thiamine (baseline ) and after 1 week, 6week, 12 week of treatment",
556,NCT04977518,Infective Endocarditis,"Complications (neurological events, systemic embolism, and congestive heart failure) of infective endocarditis|Mortality","During the hospitalization, average of 1 months|During the hospitalization, average of 1 months",,,
557,NCT04977505,Shoulder Dislocation,hounsfield unit of anchor tunnel|the diameter of anchor tunnel|Hounsfield unit of ossification site,2 years after surgery|2 years after surgery|2 years after surgery,unossified area of anchor tunnel|ossification quality score,2 years after surgery|2 years after surgery,
562,NCT04977440,Intensive Care Unit Syndrome,Effect of high protein intake on glycemic control|Effect of high protein intake on serum electrolytes,up to 7 days|up to 7 days,Effect of high protein intake on ICU outcome,up to 7 days,
579,NCT04977219,Stroke,Catherine Bergego Scale,Up to 55 days,Functional Independence Measure (FIM)|Length of Stay|Discharge destination,Up to 55 days|Up to 55 days|Up to 55 days,
595,NCT04977011,"Diabetic Ketoacidosis|Heart Disease, Ischemic|Stroke|GastroIntestinal Bleeding|Acute Kidney Injury|Heart Failure|Trauma|Septic Shock|Respiratory Failure|Pneumonia|Intracerebral Hemorrhage|Head Injury|Liver Diseases",Anxiety Visual Analog Scale.,3day,Richmond Agitation Sedation Scale|Richards-Campbell Sleep Scale,3 day|3 day,
621,NCT04976673,"Lichen Planus, Oral",Size of Oral lichen planus,12 weeks,Pain rating,12 weeks,
631,NCT04976543,Cirrhosis|Portal Vein Thrombosis|Esophageal Varices,rebleeding,6-week,death,6-week,
634,NCT04976504,Desaturation of Blood|Anesthesia,Additional warning time provided by ORi trigger,"From time of starting preoxygenation until the time of SpO2 90%, assessed up to 20 minutes",Correlation between ORi and PaO2,"From time of starting preoxygenation until the time of SpO2 90%, assessed up to 20 minutes",
639,NCT04976439,Colorectal Cancer|APC Gene Mutation|TP53 Gene Mutation|PIK3CA Gene Mutation|KRAS Mutation-Related Tumors|MLH1 Gene Mutation,Description of clinical characteristics|Description of tumor nature|Description of survival,January 2017 - June 2021|January 2017 - June 2021|January 2017 - June 2021,,,
645,NCT04976361,PRP,Measurement of vessel density|Measurement of retinal thickness,6 months|6 months,,,
664,NCT04976114,Anxiety,Anxiety level,"Presurgery, just the moment before to surgery",,,
666,NCT04976088,Trauma Injury|Inflammation,"Change from baseline in VAS score (Visual Analogue Scale from 0 to 100 mm, where the left extreme means ""No pain = 0"" while the right extreme means ""Worst Pain Imaginable = 100"") for pain at rest at 72 ± 2 hours (Day 4) after treatment start.",72 hours,"Area under the curve (AUC) for pain at rest at Day 4 and Day 8 (SPID0-4d and SPID0-8d)|Change from baseline of VAS (Visual Analogue Scale 0-100 mm, where ""No pain = 0"" and ""Worst Pain Imaginable = 100"") for pain at rest at the other study time-points (including patients' home measurements), from Day 1 to Day 8.|Time to resolution of pain at rest, measured through VAS Scale (Visual Analogue Scale 0-100 mm, where ""No pain = 0"" and ""Worst Pain Imaginable = 100"") during from Baseline to Day 8.|Change from baseline in VAS score (Visual Analogue Scale 0-100 mm, where ""No pain = 0"" and ""Worst Pain Imaginable = 100"") for pain on movement at 72 ± 2 hours (Day 4) and at 168 ± 2 hours (Day 8) after treatment start|Proportion of responder patients (defined as a decrease ≥ 50% of baseline VAS (Visual Analogue Scale 0-100 mm, where ""No pain = 0"" and ""Worst Pain Imaginable = 100"") for pain at rest and on movement) at 72 ± 2 hours (Day 4) after treatment start|Proportion of patients that used rescue medication (paracetamol) from Baseline to Day 8 usign a patient diary|Amount of tablets of rescue medication consumed from Baseline to Day 8, using a patient diary|IMP adhesion, performed daily by patients and at Day 4 and Day 8 by the open staff member; following 5-point ordinal scale: 0:≥90% adhered; 1:≥75% to <90% adhered; 2:≥50% to <75% adhered; 3:<50% adhered but not detached; 4:Plaster detached|Safety as change from baseline to Day 8 evaluated by physical examination using observation, palpitation, percussion, and auscultation|Safety as change from baseline to Day 8 evaluated by systolic blood pressure measured in mmHg|Safety as change from baseline to Day 8 evaluated by diastolic blood pressure measured in mmHg|Safety as change from baseline to Day 8 evaluated by heart rate measured in bpm|Safety as change from baseline to Day 8 evaluated by tracking the number of patient withdrawals|Safety as change from baseline to Day 8 evaluated by tracking the number of adverse events|Local tolerability (erythema) at the IMP application site by Investigator at Day 1, Day 4 and Day 8 based on a 8-point categorical scale, where 0=no evidence of irritation and 7=strong reaction spreading beyond test site|Local tolerability (itching) at the IMP application site by Investigator at Day 1, Day 4 and Day 8 based on a 4-point categorical scale, where 0=absent and 3=severe|Local tolerability (burning) at the IMP application site by Investigator at Day 1, Day 4 and Day 8 based on a 4-point categorical scale, where 0=absent and 3=severe|Local tolerability (local pain) at the IMP application site by Investigator at Day 1, Day 4 and Day 8 based on a 4-point categorical scale, where 0=absent and 3=severe|Global assessment of local tolerability at IMP administration site by Investigator and patient according to the following score: 3=excellent; 2=good; 1=fair; 0=poor, assessed at Day 4 and Day 8.","Day 4 and Day 8|Day 1, Day 2, Day 3, Day 4, Day 5,Day 6, Day 7, Day 8|From Day 1 until the date of resolution of pain at rest (maximum Day 8)|Day 4 and Day 8|Day 4|From Baseline to Day 8|From Baseline to Day 8|Day 1, Day 2, Day 3, Day 4, Day 5,Day 6, Day 7, Day 8|Day 1, Day 2, Day3, Day 4, Day 5,Day 6, Day 7, Day 8|Day 1, Day 2, Day3, Day 4, Day 5,Day 6, Day 7, Day 8|Day 1, Day 2, Day3, Day 4, Day 5,Day 6, Day 7, Day 8|Day 1, Day 2, Day3, Day 4, Day 5,Day 6, Day 7, Day 8|Day 1, Day 2, Day3, Day 4, Day 5,Day 6, Day 7, Day 8|Day 1, Day 2, Day3, Day 4, Day 5,Day 6, Day 7, Day 8|Day 1, Day 4 and Day 8|Day 1, Day 4 and Day 8|Day 1, Day 4 and Day 8|Day 1, Day 4 and Day 8|Day 4 and Day 8",
675,NCT04975971,Anterior Chamber Inflammation|Ocular Pain|Corneal Edema|Corneal Defect|Penetrating KeratoPlasty|Nuclear Cataract|Cortical Cataract|Cataract Senile,Mean change in pain score|Mean change in inflammation (Cell and Flare) scores,Assessed for 3 months after drug insertion|Assessed for 3 months after drug insertion,Resolution of pain|Resolution of anterior chamber inflammation|Proportion of eyes requiring additional post-operative therapy|Number of patient call-backs regarding post-operative pain|Number of pharmacy call-backs regarding post-operative medication|Adverse events|Mean change in IOP|Change in BCVA,Assessed for 1 months after drug insertion|Assessed for 3 months after drug insertion|Assessed for 3 months after drug insertion|Assessed for 3 months after drug insertion|Assessed for 3 months after drug insertion|Assessed for 3 months after drug insertion|Assessed for 3 months after drug insertion|Assessed for 3 months after drug insertion,
699,NCT04975659,Communication,Pain score|Baseline anxiety score|Preoperative anxiety score,"Throughout study completion, average of 10 months|Through study completion, average of 10 months|Through study completion, average of 10 months",Association of Education level on Pain and anxiety score|Association of past history of regional anesthesia on Pain and anxiety score,"Through study completion, average of 10 months|Through study completion, average of 10 months",
708,NCT04975542,Respiratory Function Impaired,Change in chest wall excursion|Change in forced vital capacity (FVC)|Change in forced expiratory volume at 1 second (FEV1)|Change in FEV1/FVC ratio,Measure assessing a change from baseline chest wall excursion within 5 minutes of treatment completion.|Measure assessing a change from baseline FVC value via pulmonary function testing within 5 minutes of treatment completion.|Measure assessing a change from baseline in forced expiratory volume at 1 second via pulmonary function testing within 5 minutes of treatment completion.|Measure assessing a change from baseline FEV1/FVC ratio value via pulmonary function testing within 5 minutes of treatment completion.,Change in respiratory rate|Change in heart rate|Oxygen Saturation (spO2),Measure assessing a change from baseline respiratory rate within 5 minutes of treatment completion.|Measure assessing a change from baseline heart rate within 5 minutes of treatment completion.|Measure assessing a change from baseline oxygen saturation within 5 minutes of treatment completion.,
709,NCT04975529,Exercise|Diet,Mean change from baseline in youth self-reported physical activity using the Patient-Reported Outcomes Measurement Information System (PROMIS) measure at 6-months,Change from baseline to end of the 6-month intervention,Mean change from baseline in youth self-reported self-efficacy for physical activity using the validated Physical Activity Self-efficacy scale at 6-months|Mean change from baseline in youth self-reported dietary intake assessed using the National Cancer Institute (NCI) fruit and vegetable screener at 6-months|Mean change from baseline in youth self-confidence assessed using the Positive Youth Development (PYD) Short Form Confidence scale at 6-months,Change from baseline to end of the 6-month intervention|Change from baseline to end of the 6-month intervention|Change from baseline to end of the 6-month intervention,
718,NCT04975412,Acne Vulgaris,Acne severity|Whole blood zinc level,initial consult|initial consult,demographics,initial consult,
722,NCT04975360,Sleep Inertia|Caffeine|Placebo,Acute Sleep Inertia Questionnaire,At 07:00 hours after caffeine and placebo administration,Polysomnographic recording of nocturnal sleep|Caffeine Effects Questionnaire|Positive and Negative Affect Schedule|Psychomotor vigilance task|N-back task|d2 attention task|Cortisol awakening response|Polysomnographic recording of morning nap opportunity,Between 03:00-07:00 hours after caffeine and placebo administration|Between 07:15-08:00 hours after caffeine and placebo administration|Between 07:00-08:15 hours after caffeine and placebo administration|Between 07:15-07:30 hours after caffeine and placebo administration|Between 07:30-07:40 hours after caffeine and placebo administration|Between 07:40-07:45 hours after caffeine and placebo administration|Between 07:00-08:00 hours after caffeine and placebo administration|Between 08:00-09:00 hours after caffeine and placebo administration,
725,NCT04975321,"Primary Dental Caries, Multisurface Origin (Diagnosis)","Fitting|Positioning|Proximal contact|Marginal adaptation|Color: Match, Staining/Color change|Gingival status|Retention of the crown|Integrity of the veneer/composite|Secondary caries|History of trauma|Clinical pulp pathology|Radiographical pulp pathology|Parent's esthetic satisfaction",24 months|24 months|24 months|24 months|24 months|24 months|24 months|24 months|24 months|24 months|24 months|24 months|24 months,,,
728,NCT04975282,"Preterm|Feeding, Bottle|Feeding Behavior|Feeding, Breast",Transition to Full Breastfeeding|Discharge Time,"From transition to breastfeeding, up to 1 week.|From admission to discharge, up to 4 weeks",,,
740,NCT04975126,Cataract,Decisional conflict scale score|Decision regret scale score|Number of correctly answered questions assessing knowledge,Day of pre-assessment visit (1 week before surgery)|1 month after surgery|Day of pre-assessment visit (1 week before surgery),,,
741,NCT04975113,Patellofemoral Pain Syndrome|Kinesiotape|Exercise|Strength,Change from Visual Analogue Pain Scale score at 6th. weeks and 12th. weeks|Change from isokinetic muscle strength of the hamstring and quadriceps femoris muscles at 6th. weeks and 12th. weeks,"before and after treatment (12 sessions, 6th. and 12th. weeks)]|before and after treatment (12 sessions, 6th. and 12th. weeks)]",,,
746,NCT04975048,Healthy|GEN1 Gene Mutation,Changes in serum lipids,"Week 0, week 4, week 8, week 16",,,
748,NCT04975022,"PK, PD, and Safety","Cmax|AUC 0-8 h|AUCGIR,0-8 h|GIRmax","Pre-dose, 5,10,20,30,40,50,60,75,90,105,120,150,180,210,240,270,300, 330,360,420,480 minutes；|Pre-dose, 5,10,20,30,45,10,20,30,40,50,60,75,90,105,120,150,180,210,240,270,300, 330,360,420,480 minutes；|Pre-dose, 0-8 hours|Pre-dose, 0-8 hours",Tmax|AUC 0-2 h|the elimination half-life (t1/2) of serum insulin|the AUC for insulin from time zero to 4 h|the AUC for insulin from time zero to infinite time|AUCGIR，0-2 h|AUCGIR，0-4 h|tGIRmax,"Pre-dose, 5,10,20,30,40,50,60,75,90,105,120,150,180,210,240,270,300,330,360,420,480 minutes；|Pre-dose, 5,10,20,30,40,50,60,75,90,105,120 minutes|Pre-dose, 5,10,20,30,40,50,60,75,90,105,120,150,180,210,240,270,300, 330,360,420,480 minutes；|Pre-dose, 5,10,20,30,40,50,60,75,90,105,120,150,180,210,240 minutes|Pre-dose, 5,10,20,30,45,10,20,30,40,50,60,75,90,105,120,150,180,210,240,270,300, 330,360,420,480 minutes；|Pre-dose, 0-2 hours|Pre-dose, 0-4 hours|Pre-dose, 0-8 hours",
751,NCT04974983,Glioblastoma|Angiogenesis,Functional outcome,15 months,,,
