Index,NCTId,Condition,Change,Reference,Variable,Timepoint,Endpoint Art
163,NCT04981379,Covid19,Not Mentioned,Not Mentioned,Not Mentioned,Thirtieth Day After Examination,Secondary Endpoint
164,NCT04981379,Covid19,"Igm,",Determination,Not Mentioned,Thirtieth Day After Examination,Secondary Endpoint
165,NCT04981379,Covid19,Not Mentioned,Not Mentioned,Pneumonia,During The Study,Secondary Endpoint
166,NCT04981379,Covid19,Not Mentioned,Not Mentioned,Mechanical Ventilation,During The Study,Secondary Endpoint
167,NCT04981379,Covid19,Not Mentioned,Not Mentioned,Not Mentioned,During The Study,Secondary Endpoint
168,NCT04981379,Covid19,Not Mentioned,Not Mentioned,Rate Of Discontinuation Of Treatments Due,During The Study,Secondary Endpoint
169,NCT04981379,Covid19,Not Mentioned,"Study Drugs, Symptoms After","Study Drugs, Symptoms After",During The Study,Secondary Endpoint
170,NCT04981249,"Covid-19, Chronic Disease",Not Mentioned,Not Mentioned,Covid-19 Severe Infection,From 27-February-2020 To 15-June-2020,Primary Endpoint
171,NCT04981249,"Covid-19, Chronic Disease",Not Mentioned,Not Mentioned,Covid-19 Mortality,From 27-February-2020 To 15-June-2020,Primary Endpoint
172,NCT04981249,"Covid-19, Chronic Disease",Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
173,NCT04981197,Heart Failure,Not Mentioned,"Modified Piper Fatigue Scale Scores, Changes","Modified Piper Fatigue Scale Scores, Changes","Baseline, 4 Week, 8 Week, 12 Week",Primary Endpoint
174,NCT04981197,Heart Failure,Not Mentioned,Not Mentioned,Changes,"Baseline, 4 Week, 8 Week, 12 Week",Primary Endpoint
175,NCT04981197,Heart Failure,Not Mentioned,Not Mentioned,Changes,"Baseline, 4 Week, 8 Week, 12 Week",Secondary Endpoint
176,NCT04981197,Heart Failure,Not Mentioned,Not Mentioned,Changes,"Baseline, 4 Week, 8 Week, 12 Week",Secondary Endpoint
177,NCT04981197,Heart Failure,Not Mentioned,Not Mentioned,"Heart Rate Variability, Changes In","Baseline, 4 Week, 8 Week, 12 Week",Secondary Endpoint
178,NCT04981106,Exercise,Tampa Kinesiophobia Index,Not Mentioned,Not Mentioned,First Measurement Two Weeks After Surgery (Intervetion 58.2; Control 54.1),Primary Endpoint
179,NCT04981106,Exercise,Not Mentioned,Not Mentioned,Not Mentioned,First Measurement Two Weeks After Surgery (Intervetion 89.3; Control 88.1),Primary Endpoint
180,NCT04981106,Exercise,Tampa Kinesiophobia Index,Not Mentioned,Not Mentioned,Second Measurement Six Weeks After Surgery (Intervetion 36.9; Control 42.9),Secondary Endpoint
181,NCT04981106,Exercise,Not Mentioned,Not Mentioned,Not Mentioned,Second Measurement Six Weeks After Surgery (Intervetion 29; Control 70.5),Secondary Endpoint
182,NCT04981080,"Detrusor Underactivity, Bladder Outlet Obstruction",Detrusor Underactivity,Not Mentioned,Not Mentioned,February 2005 And December 2020,Primary Endpoint
183,NCT04981080,"Detrusor Underactivity, Bladder Outlet Obstruction",Bladder Outlet Obstruction,Not Mentioned,Not Mentioned,February 2005 And December 2020,Primary Endpoint
184,NCT04981080,"Detrusor Underactivity, Bladder Outlet Obstruction",Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
185,NCT04981054,"Bladder Oversensitivity, Detrusor, Overactive",Bladder Oversensitivity,Not Mentioned,Not Mentioned,November 2010 And October 2020,Primary Endpoint
186,NCT04981054,"Bladder Oversensitivity, Detrusor, Overactive",Detrusor Overactivity,Not Mentioned,Not Mentioned,November 2010 And October 2020,Primary Endpoint
187,NCT04981054,"Bladder Oversensitivity, Detrusor, Overactive",Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
188,NCT04981015,Bladder Oversensitivity,Between Parameters,Correlation,Not Mentioned,July 2009 To December 2020,Primary Endpoint
189,NCT04981015,Bladder Oversensitivity,Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
190,NCT04980989,"Breast Cancer, Early-Onset",Modality,Not Mentioned,Not Mentioned,At 12 Months During Follow-Up Of Early Breast Cancer,Primary Endpoint
191,NCT04980989,"Breast Cancer, Early-Onset",Not Mentioned,Not Mentioned,Quality Of Life During Follow-Up Modality,"At Baseline, 6 Months And 12 Months",Secondary Endpoint
192,NCT04980989,"Breast Cancer, Early-Onset",Not Mentioned,Not Mentioned,Patient Satisfaction,At 6 Months And 12 Months,Secondary Endpoint
193,NCT04980989,"Breast Cancer, Early-Onset",Not Mentioned,Not Mentioned,Not Mentioned,"At Baseline, 6 Months And 12 Months",Secondary Endpoint
194,NCT04980989,"Breast Cancer, Early-Onset",Other Healthcare,Not Mentioned,Not Mentioned,At 6 Months And 12 Months,Secondary Endpoint
195,NCT04980937,"Traumatic Injury, Peroneal Nerve Injury, Sport Injury",Successful Nerve Reconstruction,Not Mentioned,Not Mentioned,1 Year,Primary Endpoint
196,NCT04980937,"Traumatic Injury, Peroneal Nerve Injury, Sport Injury",Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
197,NCT04980729,Pelvic Tumor,Not Mentioned,"Template-Guided Group, Traditional Operation Group, Rotation Center Before","Template-Guided Group, Traditional Operation Group, Rotation Center Before","""Through Study Completion, An Average Of 2 Years""",Primary Endpoint
198,NCT04980729,Pelvic Tumor,Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
199,NCT04980586,"Obstructive Sleep Apnea, Breathing, Sleep-Disordered, Muscle Weakness, Muscle Disorder, Face, Swallowing Disorder",Not Mentioned,Not Mentioned,Not Mentioned,Immediately After The Evaluation,Primary Endpoint
200,NCT04980586,"Obstructive Sleep Apnea, Breathing, Sleep-Disordered, Muscle Weakness, Muscle Disorder, Face, Swallowing Disorder",Specific Orofacial Muscles,Not Mentioned,Thickness Evaluation,Immediately After The Evaluation,Secondary Endpoint
201,NCT04980586,"Obstructive Sleep Apnea, Breathing, Sleep-Disordered, Muscle Weakness, Muscle Disorder, Face, Swallowing Disorder",Not Mentioned,Not Mentioned,Cheeks Pressure,Immediately After The Evaluation,Secondary Endpoint
202,NCT04980508,"Erectile Dysfunction Due To Diseases Classified Elsewhere, Covid19",Not Mentioned,Not Mentioned,Corpus Cavernosum Electromyography Amplitudes,1 Hour,Primary Endpoint
203,NCT04980508,"Erectile Dysfunction Due To Diseases Classified Elsewhere, Covid19",Not Mentioned,Not Mentioned,Corpus Cavernosum Electromyography Relaxation Degree,1 Hour,Primary Endpoint
204,NCT04980508,"Erectile Dysfunction Due To Diseases Classified Elsewhere, Covid19",Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
205,NCT04980274,Critically Ill Patients,Not Mentioned,Not Mentioned,Not Mentioned,48 Hours,Primary Endpoint
206,NCT04980274,Critically Ill Patients,Not Mentioned,Not Mentioned,Not Mentioned,28 Day Mortality,Secondary Endpoint
207,NCT04980274,Critically Ill Patients,Not Mentioned,Mechanical Ventilation,Not Mentioned,28 Days,Secondary Endpoint
208,NCT04980209,Femoroacetabular Impingement,Vas Scale,Not Mentioned,Not Mentioned,1 Year After Operation,Primary Endpoint
209,NCT04980209,Femoroacetabular Impingement,Mhhs Scale,Not Mentioned,Not Mentioned,1 Year After Operation,Primary Endpoint
210,NCT04980209,Femoroacetabular Impingement,Not Mentioned,Not Mentioned,Not Mentioned,1 Day After Operation,Primary Endpoint
211,NCT04980209,Femoroacetabular Impingement,Not Mentioned,Not Mentioned,Not Mentioned,1 Day After Operation,Primary Endpoint
212,NCT04980209,Femoroacetabular Impingement,Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
213,NCT04980196,Urogenital Prolapse,Urological Outcome,Not Mentioned,Pelvic Organ Prolapse,3Months,Primary Endpoint
214,NCT04980196,Urogenital Prolapse,Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
215,NCT04980131,Vertebral Fracture,Insertions Before,"Desired Position, Radiation Dosage Before Reaching, Rate,Number, Desired Position,","Desired Position, Radiation Dosage Before Reaching, Rate,Number, Desired Position,",Twenty Months,Primary Endpoint
216,NCT04980131,Vertebral Fracture,Vas Scores After,Not Mentioned,Not Mentioned,Twenty-Two Months,Primary Endpoint
217,NCT04980131,Vertebral Fracture,Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
218,NCT04980118,"Breast Cancer, Body Weight Changes, Weight Loss, Nutrition Related Cancer",Women Newly Diagnosed,"Breast Cancer 9 Weight Control, To Evaluate A Nutritional Intervention","Breast Cancer 9 Weight Control, To Evaluate A Nutritional Intervention",Six Months,Primary Endpoint
219,NCT04980118,"Breast Cancer, Body Weight Changes, Weight Loss, Nutrition Related Cancer",Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
220,NCT04980040,Type 2 Diabetes Mellitus,Not Mentioned,Not Mentioned,Adverse Events (Saes),From First Dose Of Study Drug Up To 30 Days Post Last Dose Of Study Drug (Up To 79.77 Weeks),Primary Endpoint
221,NCT04980040,Type 2 Diabetes Mellitus,Not Mentioned,Not Mentioned,Unexpected Adverse Events,From First Dose Of Study Drug Up To 30 Days Post Last Dose Of Study Drug (Up To 79.77 Weeks),Primary Endpoint
222,NCT04980040,Type 2 Diabetes Mellitus,Not Mentioned,Not Mentioned,Unexpected Adverse Drug Reactions (Adrs),From First Dose Of Study Drug Up To 30 Days Post Last Dose Of Study Drug (Up To 79.77 Weeks),Primary Endpoint
223,NCT04980040,Type 2 Diabetes Mellitus,Haemoglobin (Hba1C) Levels,Not Mentioned,Not Mentioned,"Baseline (Before Administration Of Alogliptin), 13 Weeks (±2 Weeks) And 26 Weeks (±2 Weeks) After Administration",Secondary Endpoint
224,NCT04980040,Type 2 Diabetes Mellitus,Fasting Blood Glucose Levels,Not Mentioned,Not Mentioned,"Baseline (Before Administration Of Alogliptin), 13 Weeks (±2 Weeks) And 26 Weeks (±2 Weeks) After Administration",Secondary Endpoint
225,NCT04980040,Type 2 Diabetes Mellitus,Not Mentioned,Not Mentioned,Overall Improvement,Up To Week 26,Secondary Endpoint
226,NCT04980014,Type 2 Diabetes Mellitus,Not Mentioned,Not Mentioned,Adverse Events (Saes),First Dose Of Surveillance Drug Treatment To Within 30 Days After The End Of The Treatment (Up To 153 Weeks),Primary Endpoint
227,NCT04980014,Type 2 Diabetes Mellitus,Not Mentioned,Not Mentioned,"Adverse Drug Reactions (Adrs) Not Mentioned In Precautions, Unexpected Adverse Events (Aes)",First Dose Of Surveillance Drug Treatment To Within 30 Days After The End Of The Treatment (Up To 153 Weeks),Primary Endpoint
228,NCT04980014,Type 2 Diabetes Mellitus,Not Mentioned,Not Mentioned,Expected/Already Known Adrs,Week 13,Primary Endpoint
229,NCT04980014,Type 2 Diabetes Mellitus,Not Mentioned,Not Mentioned,Expected/Already Known Adrs,Week 26,Primary Endpoint
230,NCT04980014,Type 2 Diabetes Mellitus,Not Mentioned,Not Mentioned,Expected/Already Known Adrs,Week 39,Primary Endpoint
231,NCT04980014,Type 2 Diabetes Mellitus,Not Mentioned,Not Mentioned,Expected/Already Known Adrs,Week 52,Primary Endpoint
232,NCT04980014,Type 2 Diabetes Mellitus,Not Mentioned,Not Mentioned,Expected/Already Known Adrs,Week 153,Primary Endpoint
233,NCT04980014,Type 2 Diabetes Mellitus,Not Mentioned,Not Mentioned,Abnormal Laboratory Findings Reported As Aes,First Dose Of Surveillance Drug Treatment To Within 30 Days After The End Of The Treatment (Up To 153 Weeks),Primary Endpoint
234,NCT04980014,Type 2 Diabetes Mellitus,Change,Baseline,Not Mentioned,"Baseline, Weeks 13 And 26",Secondary Endpoint
235,NCT04980014,Type 2 Diabetes Mellitus,Change,"Fasting Serum Glucose, Baseline","Fasting Serum Glucose, Baseline","Baseline, Weeks 13 And 26",Secondary Endpoint
236,NCT04980014,Type 2 Diabetes Mellitus,Change,"Baseline, Total Cholesterol","Baseline, Total Cholesterol","Baseline, Weeks 13 And 26",Secondary Endpoint
237,NCT04980014,Type 2 Diabetes Mellitus,Low Density Lipoprotein-Cholesterol (Ldl-C),Baseline,Not Mentioned,"Baseline, Weeks 13 And 26",Secondary Endpoint
238,NCT04980014,Type 2 Diabetes Mellitus,High Density Lipoprotein-Cholesterol (Hdl-C),Baseline,Not Mentioned,"Baseline, Weeks 13 And 26",Secondary Endpoint
239,NCT04980014,Type 2 Diabetes Mellitus,Change,Baseline,Not Mentioned,"Baseline, Weeks 13 And 26",Secondary Endpoint
240,NCT04980014,Type 2 Diabetes Mellitus,Change,"Blood Pressure, Baseline","Blood Pressure, Baseline","Baseline, Weeks 13 And 26",Secondary Endpoint
241,NCT04980014,Type 2 Diabetes Mellitus,Change,Baseline,Not Mentioned,Diastolic,Secondary Endpoint
242,NCT04979936,"Acute Cholecystitis, Empyema, Gallbladder",Not Mentioned,Not Mentioned,Operative Difficulties,At The Time Of Cholecysctomy,Primary Endpoint
243,NCT04979936,"Acute Cholecystitis, Empyema, Gallbladder",Postoperative Complications,Not Mentioned,Not Mentioned,30 Days After The Operation,Primary Endpoint
244,NCT04979936,"Acute Cholecystitis, Empyema, Gallbladder",Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
245,NCT04979689,Erbs Palsy,Not Mentioned,Not Mentioned,Not Mentioned,12Th Weeks,Primary Endpoint
246,NCT04979689,Erbs Palsy,Not Mentioned,Not Mentioned,Not Mentioned,"12Th Weeks, 5Th Day",Secondary Endpoint
247,NCT04979481,Mental Health Wellness 1,Not Mentioned,Not Mentioned,Not Mentioned,Up To 8 Months,Primary Endpoint
248,NCT04979481,Mental Health Wellness 1,Resilience,Not Mentioned,Not Mentioned,Up To 8 Months,Primary Endpoint
249,NCT04979481,Mental Health Wellness 1,Not Mentioned,Not Mentioned,Not Mentioned,Up To 8 Months,Primary Endpoint
250,NCT04979481,Mental Health Wellness 1,Not Mentioned,Not Mentioned,Self-Esteem,Up To 8 Months,Primary Endpoint
251,NCT04979481,Mental Health Wellness 1,Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
252,NCT04979364,"Chronic Pain, Opioid Misuse",Pomi Scale,Not Mentioned,Not Mentioned,Once. At Inclusion (Test Phase),Primary Endpoint
253,NCT04979364,"Chronic Pain, Opioid Misuse",Pomi Scale,Not Mentioned,Not Mentioned,Once. At 2 To 4 Weeks (Re-Test Phase),Primary Endpoint
254,NCT04979364,"Chronic Pain, Opioid Misuse",Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
255,NCT04979208,"Coronavirus Disease 2019, Stroke, Acute Myocardial Infarction",Not Mentioned,Delay For Ami Patient,Not Mentioned,At Inclusion In The Cohort During The Acute Episode,Primary Endpoint
256,NCT04979208,"Coronavirus Disease 2019, Stroke, Acute Myocardial Infarction",Not Mentioned,Delay For Stroke Patient,Not Mentioned,At Inclusion In The Cohort During The Acute Episode,Primary Endpoint
257,NCT04979208,"Coronavirus Disease 2019, Stroke, Acute Myocardial Infarction",Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
258,NCT04979195,Covid-19 Positive Patients With Acute Kidney Injury,Patient Survival,Not Mentioned,Not Mentioned,30 Days,Primary Endpoint
259,NCT04979195,Covid-19 Positive Patients With Acute Kidney Injury,Not Mentioned,Not Mentioned,Not Mentioned,30 Days,Primary Endpoint
260,NCT04979195,Covid-19 Positive Patients With Acute Kidney Injury,Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
261,NCT04979091,"Covid19, Critical Illness",Sex,Not Mentioned,Covid-19 Patients,Day At Admission,Primary Endpoint
262,NCT04979091,"Covid19, Critical Illness",Sex,Critical Ill,Not Mentioned,Day At Admission,Primary Endpoint
263,NCT04979091,"Covid19, Critical Illness",Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
264,NCT04979026,Deep Venous Thrombosis,Change Of,Not Mentioned,Not Mentioned,"The Peak Flow Velocity Was Determined On The 1St, 3Rd, And 14Th Days After Surgery.",Primary Endpoint
265,NCT04979026,Deep Venous Thrombosis,Change,Not Mentioned,Not Mentioned,"The Flow Volume Was Determined On The 1St, 3Rd, And 14Th Days After Surgery.",Primary Endpoint
266,NCT04979026,Deep Venous Thrombosis,Number Of Participants,Not Mentioned,Not Mentioned,"Stasis Was Determined On The 1St, 3Rd, And 14Th Days After Surgery.",Primary Endpoint
267,NCT04979026,Deep Venous Thrombosis,Number Of Participants,Not Mentioned,Not Mentioned,"Deep Venous Thrombosis Was Determined On The 1St, 3Rd, And 14Th Days After Surgery.",Primary Endpoint
268,NCT04979026,Deep Venous Thrombosis,Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
269,NCT04979013,"Smoking, Smoking Cessation, Tobacco Use",Not Mentioned,Not Mentioned,Not Mentioned,14 Days,Primary Endpoint
270,NCT04979013,"Smoking, Smoking Cessation, Tobacco Use",Not Mentioned,Not Mentioned,Not Mentioned,7 Days,Secondary Endpoint
271,NCT04979013,"Smoking, Smoking Cessation, Tobacco Use",Not Mentioned,Not Mentioned,Not Mentioned,14 Days,Secondary Endpoint
272,NCT04979013,"Smoking, Smoking Cessation, Tobacco Use",Not Mentioned,"Biomarkers Of Exposure, Nicotine Equivalents, Urine","Biomarkers Of Exposure, Nicotine Equivalents, Urine",14 Days,Secondary Endpoint
273,NCT04979013,"Smoking, Smoking Cessation, Tobacco Use",Tsnas,"Urine:, Biomarkers Of Exposure","Urine:, Biomarkers Of Exposure",14 Days,Secondary Endpoint
274,NCT04979013,"Smoking, Smoking Cessation, Tobacco Use",Carboxyhemoglobin,"Biomarkers Of Exposure, Blood:","Biomarkers Of Exposure, Blood:",14 Days,Secondary Endpoint
275,NCT04979013,"Smoking, Smoking Cessation, Tobacco Use",Cotinine,"Biomarkers Of Exposure, Nicotine And, Blood:","Biomarkers Of Exposure, Nicotine And, Blood:",14 Days,Secondary Endpoint
276,NCT04979013,"Smoking, Smoking Cessation, Tobacco Use",Feno,Biomarkers Of Potential,Not Mentioned,14 Days,Secondary Endpoint
277,NCT04979013,"Smoking, Smoking Cessation, Tobacco Use",Not Mentioned,Biomarkers Of Potential,Not Mentioned,14 Days,Secondary Endpoint
278,NCT04979013,"Smoking, Smoking Cessation, Tobacco Use",Not Mentioned,Not Mentioned,Not Mentioned,14 Days,Secondary Endpoint
279,NCT04979013,"Smoking, Smoking Cessation, Tobacco Use",Not Mentioned,Not Mentioned,B-Lymphocytes And,14 Days,Secondary Endpoint
280,NCT04979013,"Smoking, Smoking Cessation, Tobacco Use",Not Mentioned,"Platelet, Changes","Platelet, Changes",14 Days,Secondary Endpoint
281,NCT04978974,"Chronic Conditions, Multiple",Not Mentioned,Not Mentioned,Not Mentioned,10Th Session (One Month And One Week From First Assessment),Primary Endpoint
282,NCT04978974,"Chronic Conditions, Multiple",Life,Not Mentioned,Not Mentioned,10Th Session (One Month And One Week From First Assessment),Primary Endpoint
283,NCT04978974,"Chronic Conditions, Multiple",Not Mentioned,Not Mentioned,Strategies Questionnaire,10Th Session (One Month And One Week From First Assessment),Primary Endpoint
284,NCT04978961,Chronic Pain,Not Mentioned,Not Mentioned,Self-Reported Physical Disability,Booster (12 Weeks From Baseline),Primary Endpoint
285,NCT04978961,Chronic Pain,Not Mentioned,Not Mentioned,Self-Reported Physical Disability,6-Month Follow-Up,Primary Endpoint
286,NCT04978961,Chronic Pain,Not Mentioned,Not Mentioned,"Study (Attrition, Satisfaction Ratings)",6-Month Follow-Up,Primary Endpoint
287,NCT04978961,Chronic Pain,Not Mentioned,Fact Intervention,Not Mentioned,6-Month Follow-Up,Primary Endpoint
288,NCT04978961,Chronic Pain,Not Mentioned,Not Mentioned,Not Mentioned,Booster (12 Weeks From Baseline),Secondary Endpoint
289,NCT04978961,Chronic Pain,Not Mentioned,Not Mentioned,Not Mentioned,6-Month Follow-Up,Secondary Endpoint
290,NCT04978961,Chronic Pain,Not Mentioned,Not Mentioned,Not Mentioned,Booster (12 Weeks From Baseline),Secondary Endpoint
291,NCT04978961,Chronic Pain,Not Mentioned,Not Mentioned,Not Mentioned,6-Month Follow-Up,Secondary Endpoint
292,NCT04978883,Sjogren'S Syndrome,Not Mentioned,Not Mentioned,Risk Factors,6 Months From Baseline,Primary Endpoint
293,NCT04978883,Sjogren'S Syndrome,Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
294,NCT04978805,Cancer,Not Mentioned,Not Mentioned,Not Mentioned,1. Week,Primary Endpoint
295,NCT04978805,Cancer,Not Mentioned,Not Mentioned,Not Mentioned,4. Week,Primary Endpoint
296,NCT04978805,Cancer,Not Mentioned,Not Mentioned,Not Mentioned,8. Week,Primary Endpoint
297,NCT04978805,Cancer,Not Mentioned,Not Mentioned,Not Mentioned,1.Week,Primary Endpoint
298,NCT04978805,Cancer,Not Mentioned,Not Mentioned,Not Mentioned,4.Week,Primary Endpoint
299,NCT04978805,Cancer,Not Mentioned,Not Mentioned,Not Mentioned,8.Week,Primary Endpoint
300,NCT04978805,Cancer,Not Mentioned,Not Mentioned,Not Mentioned,1.Week,Primary Endpoint
301,NCT04978805,Cancer,Not Mentioned,Not Mentioned,Not Mentioned,4.Week,Primary Endpoint
302,NCT04978805,Cancer,Not Mentioned,Not Mentioned,Not Mentioned,8.Week,Primary Endpoint
303,NCT04978805,Cancer,Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
304,NCT04978714,"Urodynamic Stress Incontinence, Detrusor Overactivity",Not Mentioned,Not Mentioned,Not Mentioned,November 2010 And October 2020,Primary Endpoint
305,NCT04978714,"Urodynamic Stress Incontinence, Detrusor Overactivity",Detrusor Overactivity,Not Mentioned,Not Mentioned,November 2010 And October 2020,Primary Endpoint
306,NCT04978714,"Urodynamic Stress Incontinence, Detrusor Overactivity",Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
307,NCT04978688,Healthy,Area Under,Not Mentioned,Not Mentioned,Predose And Up To 24 Hours At Weeks 3 And 6,Primary Endpoint
308,NCT04978688,Healthy,Maximum Concentration,Not Mentioned,Not Mentioned,Predose And Up To 24 Hours At Weeks 3 And 6,Primary Endpoint
309,NCT04978688,Healthy,Change,Baseline,Not Mentioned,"Baseline, Week 6",Secondary Endpoint
310,NCT04978688,Healthy,Change,Baseline,Not Mentioned,"Baseline, Week 6",Secondary Endpoint
311,NCT04978688,Healthy,Change,Baseline,Not Mentioned,"Baseline, Week 6",Secondary Endpoint
312,NCT04978688,Healthy,Change,Baseline,Not Mentioned,"Baseline, Week 6",Secondary Endpoint
313,NCT04978688,Healthy,In N-Telopeptide,Baseline,Not Mentioned,"Baseline, Week 6",Secondary Endpoint
314,NCT04978688,Healthy,Not Mentioned,Not Mentioned,Treatment-Emergent Adverse Events,8 Weeks,Secondary Endpoint
315,NCT04978545,"Periapical Periodontitis, Polymerase Chain Reaction, Intracanal Medicament, Enterococcus Faecalis Infection",Sanger,Not Mentioned,Not Mentioned,Change From Baseline To Postoperative 7 Days,Primary Endpoint
316,NCT04978545,"Periapical Periodontitis, Polymerase Chain Reaction, Intracanal Medicament, Enterococcus Faecalis Infection",Not Mentioned,"Total Bacteria, S3)","Total Bacteria, S3)",Change From Baseline To Postoperative 7 Days,Primary Endpoint
317,NCT04978545,"Periapical Periodontitis, Polymerase Chain Reaction, Intracanal Medicament, Enterococcus Faecalis Infection",Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
318,NCT04978532,"Procedural Pain, Pain, Acute",Change Of Pain From Before,Not Mentioned,Children),Before Venipuncture Procedure And After Venipuncture Procedure (Immediately After The Injector Was Removed),Primary Endpoint
319,NCT04978532,"Procedural Pain, Pain, Acute",Change Of Pain From Before,Observer),Not Mentioned,Before Venipuncture Procedure And After Venipuncture Procedure (Immediately After The Injector Was Removed),Primary Endpoint
320,NCT04978532,"Procedural Pain, Pain, Acute",Not Mentioned,Not Mentioned,Not Mentioned,"Before Venipuncture Procedure, During Venipuncture Procedure (When Needle Insertion And The First Blood Was Seen In Injector, Until Needle Removed), And After Venipuncture Procedure (Immediately After The Injector Was Removed)",Secondary Endpoint
321,NCT04978532,"Procedural Pain, Pain, Acute",Not Mentioned,Not Mentioned,Not Mentioned,"Before Venipuncture Procedure, During Venipuncture Procedure (When Needle Insertion And The First Blood Was Seen In Injector, Until Needle Removed), And After Venipuncture Procedure (Immediately After The Injector Was Removed)",Secondary Endpoint
322,NCT04978441,"Significant Correlation Between Baseline Personality Characteristics, Changing Emotions Throughout The Day, And Glycemic Levels In Patients With T1Dm",Not Mentioned,"Correlation, Glycemic Levels In Patients, Baseline, Changing Emotions","Correlation, Glycemic Levels In Patients, Baseline, Changing Emotions","Through Study Completion, An Average Of 1 Year",Primary Endpoint
323,NCT04978441,"Significant Correlation Between Baseline Personality Characteristics, Changing Emotions Throughout The Day, And Glycemic Levels In Patients With T1Dm",Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
324,NCT04978402,"Interchromosomal Breakpoint, Infertility",Not Mentioned,Not Mentioned,"Estimate The, Reproductive Risk, It Carrier",Day 1,Primary Endpoint
325,NCT04978402,"Interchromosomal Breakpoint, Infertility",Nan,Not Mentioned,Not Mentioned,Nan,Secondary Endpoint
326,NCT04978233,Covid-19,Change,Not Mentioned,Not Mentioned,From Day 1 To Day 14,Primary Endpoint
327,NCT04978233,Covid-19,Change,Not Mentioned,Not Mentioned,From Day 1 To Day 14,Primary Endpoint
328,NCT04978233,Covid-19,Not Mentioned,Healthcare Team,Not Mentioned,From Day 1 To Day 14,Secondary Endpoint
329,NCT04978233,Covid-19,Change In Symptoms,Not Mentioned,Not Mentioned,From Day 1 To Day 14,Secondary Endpoint
330,NCT04978233,Covid-19,Not Mentioned,Not Mentioned,Patient Satisfaction,From Day 1 To Day 14,Secondary Endpoint
331,NCT04978233,Covid-19,Change In,Not Mentioned,Not Mentioned,From Day 1 To Day 14,Secondary Endpoint
332,NCT04978233,Covid-19,Change In,Not Mentioned,Not Mentioned,From Day 1 To Day 14,Secondary Endpoint
333,NCT04978233,Covid-19,Change In,Not Mentioned,Not Mentioned,From Day 1 To Day 14,Secondary Endpoint
334,NCT04978233,Covid-19,Change In,Not Mentioned,Not Mentioned,From Day 1 To Day 14,Secondary Endpoint
335,NCT04978233,Covid-19,Change In,Not Mentioned,Blood Pressure,From Day 1 To Day 14,Secondary Endpoint
336,NCT04978220,"Depression Unipolar, Insomnia",Not Mentioned,Not Mentioned,Not Mentioned,1 Year,Primary Endpoint
337,NCT04978220,"Depression Unipolar, Insomnia",Not Mentioned,Not Mentioned,Not Mentioned,1 Year,Secondary Endpoint
338,NCT04978155,Arterio-Venous Fistula,Not Mentioned,Not Mentioned,"Time Of, Postoperative",6 Weeks,Primary Endpoint
339,NCT04978155,Arterio-Venous Fistula,Planning Change,Not Mentioned,"Rate Of, Consultation, Surgical Project",During The Surgery,Secondary Endpoint
340,NCT04978155,Arterio-Venous Fistula,Not Mentioned,Secondary Permeability,Not Mentioned,12 Months,Secondary Endpoint
341,NCT04977921,Educational Problems,Not Mentioned,Not Mentioned,Improve Student,13 Lab Session-13 Weeks,Primary Endpoint
342,NCT04977921,Educational Problems,Not Mentioned,Not Mentioned,Evaluate Effectiveness,Week 14,Primary Endpoint
343,NCT04977921,Educational Problems,Not Mentioned,Not Mentioned,Assess Students' Perception Of Usability,Up To 15 Weeks,Secondary Endpoint
344,NCT04977713,"Labor Pain, Hydrotherapy, Acupressure, Postpartum Period",Reduce Labor Pain,Not Mentioned,Not Mentioned,Evaluation Was Done Until Delivery (On Average Between 8-12 Hours),Primary Endpoint
345,NCT04977713,"Labor Pain, Hydrotherapy, Acupressure, Postpartum Period",Postpartum Comfort Levels,Not Mentioned,Not Mentioned,2 Hours After Birth,Primary Endpoint
346,NCT04977713,"Labor Pain, Hydrotherapy, Acupressure, Postpartum Period",A Maternal Information,Not Mentioned,Not Mentioned,Before Birth,Primary Endpoint
